id,group_name,category,tags,title,description,resources
multi-head-self-attention,tech,ai-ml,deep-learning;transformers;nlp,Scaled Dot-Product & Multi-Head Self-Attention,Calculates pairwise dynamic compatibility across token representations via query-key dot products to route value embeddings across multiple representation subspaces. It eliminates recurrent sequential bottlenecks by allowing full parallelization over the sequence length.,"[{""label"": ""Attention Is All You Need (Vaswani et al., 2017)"", ""url"": ""https://arxiv.org/abs/1706.03762""}, {""label"": ""The Illustrated Transformer (Jay Alammar)"", ""url"": ""https://jalammar.github.io/illustrated-transformer/""}, {""label"": ""PyTorch MultiheadAttention Docs"", ""url"": ""https://pytorch.org/docs/stable/generated/torch.nn.MultiheadAttention.html""}]"
mixture-of-experts-moe,tech,ai-ml,transformers;sparse-computing;llm-architecture,Sparse Mixture of Experts (MoE),Replaces dense feed-forward networks with multiple specialized expert sub-networks dynamically selected per token by a top-k router. This decouples total parameter capacity from per-token compute cost during inference and training.,"[{""label"": ""Outrageously Large Neural Networks: The Sparsely-Gated MoE Layer"", ""url"": ""https://arxiv.org/abs/1701.06538""}, {""label"": ""Hugging Face Mixture of Experts Explained"", ""url"": ""https://huggingface.co/blog/moe""}, {""label"": ""Mixtral of Experts Paper"", ""url"": ""https://arxiv.org/abs/2401.04088""}]"
mamba-state-space-models,tech,ai-ml,sequence-models;state-space-models;deep-learning,Mamba & Selective State Space Models,Sub-quadratic sequence models that parameterize continuous-time state spaces with input-dependent selection mechanisms and hardware-aware scan kernels. They achieve linear inference scaling and constant memory footprint with Transformer-competitive language modeling fidelity.,"[{""label"": ""Mamba: Linear-Time Sequence Modeling with Selective State Spaces"", ""url"": ""https://arxiv.org/abs/2312.00752""}, {""label"": ""State Space Models Annotated (Albert Gu & Tri Dao)"", ""url"": ""https://srush.github.io/annotated-s4/""}, {""label"": ""Mamba GitHub Repository"", ""url"": ""https://github.com/state-spaces/mamba""}]"
rotary-positional-embeddings-rope,tech,ai-ml,transformers;positional-encoding;nlp,Rotary Position Embeddings (RoPE),Encodes token position information into query and key representations by rotating 2D slice vectors using orthogonal rotation matrices. This naturally decays attention scores as token distances grow and enables flexible context length extension via interpolation.,"[{""label"": ""RoFormer: Enhanced Transformer with Rotary Position Embedding (Su et al.)"", ""url"": ""https://arxiv.org/abs/2104.09864""}, {""label"": ""EleutherAI: Rotary Embeddings Explanation"", ""url"": ""https://blog.eleuther.ai/rotary-embeddings/""}, {""label"": ""Hugging Face RoPE Implementation in Llama"", ""url"": ""https://github.com/huggingface/transformers/blob/main/src/transformers/models/llama/modeling_llama.py""}]"
residual-connections-resnet,tech,ai-ml,computer-vision;deep-learning;optimization,Residual Connections & Highway Gradient Flow,"Introduces identity skip connections that formulate layer mappings as learning residual functions with reference to layer inputs. This prevents the vanishing and exploding gradient problem, enabling the stable training of networks with hundreds of layers.","[{""label"": ""Deep Residual Learning for Image Recognition (He et al., 2015)"", ""url"": ""https://arxiv.org/abs/1512.03385""}, {""label"": ""Understanding the Effective Path Length in ResNets (Veit et al.)"", ""url"": ""https://arxiv.org/abs/1605.06431""}, {""label"": ""PyTorch ResNet Implementation"", ""url"": ""https://github.com/pytorch/vision/blob/main/torchvision/models/resnet.py""}]"
vision-transformers-vit,tech,ai-ml,computer-vision;transformers;deep-learning,Vision Transformers (ViT),"Applies standard Transformer encoder architectures directly to non-overlapping 16x16 image patches treated as sequential token embeddings. With sufficient pre-training scale, ViT eliminates convolutional inductive biases and achieves superior global visual reasoning.","[{""label"": ""An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale"", ""url"": ""https://arxiv.org/abs/2010.11929""}, {""label"": ""Google Research ViT JAX Repository"", ""url"": ""https://github.com/google-research/vision_transformer""}, {""label"": ""Hugging Face Vision Transformer Guide"", ""url"": ""https://huggingface.co/docs/transformers/model_doc/vit""}]"
swin-transformer-shifted-windows,tech,ai-ml,computer-vision;transformers;vision-backbone,Swin Transformer: Hierarchical Vision with Shifted Windows,Constructs hierarchical feature maps with linear computational complexity relative to image size by computing self-attention only within local non-overlapping windows. Shifting window partitions across consecutive layers introduces cross-window connections.,"[{""label"": ""Swin Transformer: Hierarchical Vision Transformer using Shifted Windows (Liu et al., ICCV)"", ""url"": ""https://arxiv.org/abs/2103.14030""}, {""label"": ""Microsoft Swin-Transformer GitHub Repo"", ""url"": ""https://github.com/microsoft/Swin-Transformer""}, {""label"": ""PyTorch SwinTransformer Implementation"", ""url"": ""https://pytorch.org/vision/main/models/swin_transformer.html""}]"
sliding-window-and-longformer-attention,tech,ai-ml,transformers;sparse-attention;long-context,Sliding Window & Sparse Attention Patterns,Replaces full dense $O(N^2)$ attention matrices with localized sliding window bands combined with dilated and global attention anchor tokens. This allows models to process 32k+ token sequences with linear memory and compute scaling.,"[{""label"": ""Longformer: The Long-Document Transformer (Beltagy, Peters, Cohan)"", ""url"": ""https://arxiv.org/abs/2004.05150""}, {""label"": ""Mistral 7B Paper: Sliding Window Attention"", ""url"": ""https://arxiv.org/abs/2310.06825""}, {""label"": ""Generating Long Sequences with Sparse Transformers (Child et al., OpenAI)"", ""url"": ""https://arxiv.org/abs/1904.10509""}]"
grouped-query-attention-gqa,tech,ai-ml,transformers;attention;inference,Grouped-Query Attention (GQA) & Multi-Query Attention (MQA),Interpolates between multi-head attention and single-key-value multi-query attention by sharing a single key and value projection head across a subset group of query heads. This dramatically slashes KV-cache memory bandwidth consumption while maintaining model performance.,"[{""label"": ""GQA: Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints"", ""url"": ""https://arxiv.org/abs/2305.13245""}, {""label"": ""Fast Transformer Decoding: One Write-Head is All You Need (Shazeer, 2019)"", ""url"": ""https://arxiv.org/abs/1911.02150""}, {""label"": ""Llama 3 Technical Report (Meta AI)"", ""url"": ""https://arxiv.org/abs/2407.21783""}]"
lora-low-rank-adaptation,tech,ai-ml,peft;fine-tuning;llm-optimization,Low-Rank Adaptation (LoRA),Freezes pre-trained model weights and injects trainable rank-decomposition matrix pairs into each attention and MLP projection layer. This reduces trainable parameters by over 99% and slashes GPU memory requirements during domain-specific fine-tuning.,"[{""label"": ""LoRA: Low-Rank Adaptation of Large Language Models (Hu et al.)"", ""url"": ""https://arxiv.org/abs/2106.09685""}, {""label"": ""Hugging Face PEFT Library Documentation"", ""url"": ""https://huggingface.co/docs/peft/conceptual_guides/lora""}, {""label"": ""Microsoft LoRA GitHub Repo"", ""url"": ""https://github.com/microsoft/LoRA""}]"
